Geo Point;Geo Shape;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;StopName;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.78031379639699, 2.312307716888594;"{""coordinates"": [2.312307716888594, 48.78031379639699], ""type"": ""Point""}";102;Bourg-la-Reine;;;70033;Bourg-la-Reine;43097;Bourg-la-Reine;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;649468.2085;6853577.9767;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Bourg-la-Reine
48.698196976301936, 2.136566717058361;"{""coordinates"": [2.136566717058361, 48.698196976301936], ""type"": ""Point""}";330;Gif-sur-Yvette;;;62890;Gif-sur-Yvette;47888;Gare de Gif-sur-Yvette;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;636455.3481;6844575.3205;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Gif-sur-Yvette
48.795383835614835, 2.513423298184714;"{""coordinates"": [2.513423298184714, 48.795383835614835], ""type"": ""Point""}";405;La Varenne-Chennevières;;;72998;La Varenne - Chennevières;43146;La Varenne - Chennevières;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;1;0;664256.3285;6855143.6716;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;La Varenne-Chennevières
48.70540392478546, 2.1927348848067565;"{""coordinates"": [2.192734884806756, 48.70540392478546], ""type"": ""Point""}";429;Le Guichet;;;63025;Le Guichet;43232;Le Guichet;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;640597.1051;6845332.8158;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Le Guichet
48.80537766216148, 2.4863497487790744;"{""coordinates"": [2.486349748779074, 48.80537766216148], ""type"": ""Point""}";431;Le Parc de Saint-Maur;;;70359;Le Parc de Saint-Maur;43234;Le Parc de Saint-Maur;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;1;0;662274.7753;6856267.4523;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Le Parc de Saint-Maur
48.89797344633644, 2.122117447472966;"{""coordinates"": [2.122117447472966, 48.89797344633644], ""type"": ""Point""}";439;Le Vésinet-Le Pecq;;;64582;Le Vésinet - Le Pecq;43237;Le Vésinet - Le Pecq;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;1;0;635638.9457;6866798.6735;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Le Vésinet-Le Pecq
48.70814058364534, 2.237314364639455;"{""coordinates"": [2.237314364639455, 48.70814058364534], ""type"": ""Point""}";617;Palaiseau-Villebon;;;63067;Palaiseau - Villebon;43175;Palaiseau - Villebon;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;643880.336;6845604.4536;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Palaiseau-Villebon
48.84288484082361, 2.5800859119743564;"{""coordinates"": [2.580085911974356, 48.84288484082361], ""type"": ""Point""}";597;Noisy-Champs;;;73163;Noisy - Champs;58937;Noisy - Champs;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;1;0;669181.367;6860397.1861;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Noisy-Champs
48.840033787418086, 2.3370964308800906;"{""coordinates"": [2.337096430880091, 48.840033787418086], ""type"": ""Point""}";680;Port Royal;;;71106;Port Royal;44500;Port Royal;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;651345.3912;6860202.4553;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Port Royal
48.78135672132316, 2.2976476777940333;"{""coordinates"": [2.297647677794033, 48.78135672132316], ""type"": ""Point""}";790;Sceaux;;;74265;Sceaux;59206;Sceaux;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;648392.0449;6853703.414;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Sceaux
48.771707906964316, 2.507482645714313;"{""coordinates"": [2.507482645714313, 48.771707906964316], ""type"": ""Point""}";841;Sucy-Bonneuil;;;72929;Sucy - Bonneuil;58792;Sucy - Bonneuil;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;1;0;663803.5173;6852513.9541;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Sucy-Bonneuil
